City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Panzhihua,0,CN,1587079437,30,26.59,101.71,68.59,0.47
Te Anau,85,NZ,1587079437,71,-45.42,167.72,55.99,4.54
Ranong,99,TH,1587079437,79,9.97,98.63,80.24,3.09
Ibirama,0,BR,1587079438,82,-27.06,-49.52,60.01,1.7
Albany,40,US,1587079438,30,42.6,-73.97,41,17.22
Tuktoyaktuk,90,CA,1587079438,79,69.45,-133.04,19.4,16.11
Zhigansk,16,RU,1587079438,88,66.77,123.37,-3.41,17.83
Chui,4,UY,1587079438,87,-33.7,-53.46,62.49,8.14
Cape Town,86,ZA,1587079202,93,-33.93,18.42,59,4.7
Bengkulu,100,ID,1587079438,89,-3.8,102.27,76.08,5.3
Robertsport,55,LR,1587079438,86,6.75,-11.37,81.09,9.6
Kapaa,20,US,1587079439,65,22.08,-159.32,82.4,12.75
Esperance,75,AU,1587079439,87,-33.87,121.9,53.6,8.05
Rikitea,24,PF,1587079439,75,-23.12,-134.97,76.37,12.77
Busselton,13,AU,1587079417,61,-33.65,115.33,53.01,8.05
Arroyo de la Encomienda,37,ES,1587079439,93,41.61,-4.8,51.01,6.93
Jamestown,90,US,1587079416,47,42.1,-79.24,37.4,19.46
Chokurdakh,87,RU,1587079439,91,70.63,147.92,-4.65,9.93
Turtas,100,RU,1587079440,82,58.94,69.13,40.57,8.63
Chapais,90,CA,1587079440,58,49.78,-74.85,26.6,12.75
Castro,0,BR,1587079440,38,-24.79,-50.01,53.17,1.72
Airai,6,TL,1587079440,58,-8.93,125.41,69.06,3.22
Fairbanks,90,US,1587079440,80,64.84,-147.72,44.6,11.41
Abu Samrah,97,SY,1587079440,57,35.3,37.18,60.53,2.42
Punta Arenas,75,CL,1587079419,87,-53.15,-70.92,50,9.17
Cidreira,4,BR,1587079441,78,-30.18,-50.21,65.86,11.36
Beringovskiy,97,RU,1587079441,96,63.05,179.32,24.93,18.07
Saint-Philippe,19,RE,1587079441,64,-21.36,55.77,75.2,17.22
Sarakhs,0,IR,1587079441,87,36.54,61.16,51.8,2.24
Madaoua,11,NE,1587079441,12,14.07,5.96,83.77,10.09
Bindura,13,ZW,1587079441,65,-17.3,31.33,63.57,2.59
Karratha,90,AU,1587079442,62,-20.74,116.85,84.38,12.57
Khatanga,0,RU,1587079442,90,71.97,102.5,4.93,12.06
Lompoc,1,US,1587079412,72,34.64,-120.46,72,14.99
Port Blair,95,IN,1587079267,74,11.67,92.75,82.72,3.8
Barra do Garças,100,BR,1587079442,83,-15.89,-52.26,72.19,2.51
Geraldton,86,AU,1587079442,77,-28.77,114.6,62.6,4.7
Torbay,85,CA,1587079442,86,47.67,-52.73,33.01,7
Vaini,75,TO,1587079442,74,-21.2,-175.2,80.6,4.7
Klyuchi,2,RU,1587079442,65,52.27,79.17,45.61,1.23
Norman Wells,75,CA,1587079443,87,65.28,-126.83,42.8,9.17
Hobart,20,AU,1587079422,53,-42.88,147.33,52,21.92
Rørvik,100,NO,1587079443,75,64.86,11.24,38.89,24.32
Ushuaia,98,AR,1587079404,54,-54.8,-68.3,57.2,20.8
Leningradskiy,100,RU,1587079443,95,69.38,178.42,16.18,8.68
Mataura,100,NZ,1587079443,95,-46.19,168.86,46,7
Floriano,58,BR,1587079443,84,-6.77,-43.02,76.59,2.95
Hong Kong,20,HK,1587079444,83,22.29,114.16,73.99,11.41
São João da Barra,59,BR,1587079444,91,-21.64,-41.05,74.48,9.42
Bluff,100,NZ,1587079444,95,-46.6,168.33,46,7
Pacific Grove,90,US,1587079444,76,36.62,-121.92,66,12.75
Camaná,30,PE,1587079444,76,-16.62,-72.71,72.09,7.43
Kalāleh,2,IR,1587079444,93,37.38,55.49,55.4,9.17
Sumbuya,35,SL,1587079444,84,7.65,-11.96,79.03,2.17
Darhan,44,MN,1587079444,38,49.49,105.92,45.77,0.29
Katsuura,75,JP,1587079445,61,35.13,140.3,55,8.05
Port Alfred,0,ZA,1587079414,85,-33.59,26.89,59,6.71
Narasannapeta,28,IN,1587079445,85,18.42,84.05,79.61,8.86
Bethel,1,US,1587079445,24,41.37,-73.41,46.4,8.05
Champerico,33,GT,1587079445,60,14.3,-91.92,87.1,6.22
Carnarvon,90,AU,1587079445,73,-24.87,113.63,75.2,9.17
Whitianga,76,NZ,1587079445,80,-36.83,175.7,71.01,7
Batagay-Alyta,100,RU,1587079445,81,67.8,130.41,-2.09,16.08
Ilulissat,88,GL,1587079446,87,69.22,-51.1,32,18.34
Clyde River,40,CA,1587079446,84,70.47,-68.59,5,14.99
Saint-Joseph,19,RE,1587079446,64,-21.37,55.62,75.2,17.22
Hermanus,92,ZA,1587079420,94,-34.42,19.23,60.01,2.26
Ostrovnoy,100,RU,1587079447,93,68.05,39.51,33.46,20.31
Meulaboh,100,ID,1587079447,85,4.14,96.13,77.81,2.15
Yulara,13,AU,1587079447,52,-25.24,130.99,68,8.05
Yellowknife,90,CA,1587079363,92,62.46,-114.35,37.99,11.41
Saint Paul Harbor,1,US,1587079206,75,57.79,-152.41,46.4,6.93
Jumla,85,NP,1587079447,25,29.27,82.18,48.13,3.56
Fortuna,1,US,1587079447,87,40.6,-124.16,66.99,13.87
Sura,100,RU,1587079448,88,53.89,45.74,39.78,12.08
Tougue,52,GN,1587079448,36,11.47,-11.6,80.19,2.48
Atuona,29,PF,1587079415,72,-9.8,-139.03,82.76,12.1
Mar del Plata,0,AR,1587079157,87,-38,-57.56,62.01,3.36
Pevek,97,RU,1587079448,94,69.7,170.31,15.33,3.11
Arona,20,ES,1587079448,72,28.1,-16.68,68,3.36
Altamira,86,BR,1587079448,92,-3.2,-52.21,73.85,0.98
Khorixas,0,NA,1587079448,29,-20.37,14.97,66.9,1.43
Ozernovskiy,100,RU,1587079449,95,51.5,156.52,29.86,9.75
Bilibino,70,RU,1587079449,84,68.05,166.44,12.47,2.51
Naze,75,JP,1587079449,64,28.37,129.48,69.8,9.17
Saldanha,83,ZA,1587079449,87,-33.01,17.94,59,2.24
Bredasdorp,100,ZA,1587079449,72,-34.53,20.04,62.6,1.12
Isangel,75,VU,1587079449,66,-19.55,169.27,84.2,9.17
Thompson,75,CA,1587079324,50,55.74,-97.86,28.4,9.17
Koga,100,JP,1587079449,67,33.73,130.47,59,14.99
Kiryat Gat,40,IL,1587079320,77,31.61,34.76,62.6,5.82
Gorom-Gorom,40,BF,1587079450,10,14.44,-0.24,88.3,11.01
Leh,93,IN,1587079450,20,34.17,77.58,31.59,2.77
Liwonde,17,MW,1587079450,71,-15.05,35.2,69.35,2.26
Salinópolis,94,BR,1587079450,78,-0.61,-47.36,81.18,4.85
Kaeo,98,NZ,1587079450,81,-35.1,173.78,66.74,12.26
Ochamchira,43,GE,1587079450,73,42.71,41.47,45.55,3.53
Hilo,90,US,1587079335,57,19.73,-155.09,78.8,11.99
Coahuayana Viejo,5,MX,1587079451,29,18.73,-103.68,87.8,5.82
Yārāda,20,IN,1587079451,94,17.65,83.27,80.6,8.05
Beloha,5,MG,1587079451,64,-25.17,45.05,75.07,6.69
Muroto-misakicho,75,JP,1587079451,67,33.28,134.15,57.2,4.7
Tamandaré,97,BR,1587079451,81,-8.76,-35.1,81.32,12.12
Dongkan,20,CN,1587079451,69,34,119.83,61.32,6.58
Rena,10,NO,1587079451,75,61.13,11.36,25,1.01
Kalmar,20,SE,1587079452,48,56.66,16.36,44.01,6.93
Gijón,20,ES,1587079452,81,43.54,-5.66,57,2.24
Tessalit,25,ML,1587079452,17,20.2,1.01,82.2,10.13
Cherskiy,50,RU,1587079452,92,68.75,161.3,9.72,5.48
Sarankhola,28,BD,1587079452,82,22.31,89.79,78.73,8.23
Giohar,74,SO,1587079452,75,2.78,45.5,81.52,8.52
Carbonear,83,CA,1587079453,61,47.73,-53.21,33.01,4
Hof,1,DE,1587079453,75,50.32,11.92,52,4.41
Guerrero Negro,100,MX,1587079453,35,27.98,-114.06,72,14.79
Corn Island,1,NI,1587079453,75,12.17,-83.04,81.81,15.21
Alta,100,NO,1587079453,69,69.97,23.27,35.6,16.11
Tasiilaq,100,GL,1587079453,92,65.61,-37.64,30.2,28.86
Bambous Virieux,40,MU,1587079453,73,-20.34,57.76,77,11.41
Varhaug,85,NO,1587079454,80,58.61,5.65,39.2,11.41
Port Elizabeth,0,ZA,1587079454,82,-33.92,25.57,55.4,4.7
Puerto Ayora,75,EC,1587079431,83,-0.74,-90.35,82.4,12.75
Klaksvík,51,FO,1587079454,86,62.23,-6.59,41,10.54
Matagami,75,CA,1587079454,49,49.75,-77.63,26.6,12.75
Butaritari,99,KI,1587079454,75,3.07,172.79,83.98,13.87
Sola,96,VU,1587079454,77,-13.88,167.55,82.63,15.9
Arraial do Cabo,75,BR,1587079455,100,-22.97,-42.03,75.2,2.24
Roald,91,NO,1587079455,60,62.58,6.13,39.2,6.93
Kodinsk,26,RU,1587079455,76,58.69,99.18,37.89,0.98
Antofagasta,25,CL,1587079384,82,-23.65,-70.4,64.4,8.05
Great Bend,75,US,1587079426,70,38.36,-98.76,48.2,29.97
Kafr Sawm,57,JO,1587079455,75,32.68,35.8,55.63,6.35
Liwale,98,TZ,1587079455,85,-9.77,37.93,68.58,3.8
Paso de Carrasco,40,UY,1587079455,87,-34.86,-56.05,60.01,4.7
Mercedes,0,AR,1587079407,92,-34.65,-59.43,60.01,4.85
Murray Bridge,27,AU,1587079456,80,-35.12,139.27,61,11.21
Mandera,96,KE,1587079456,17,3.94,41.87,79,13.71
Westport,1,US,1587079332,22,41.14,-73.36,46.99,16.11
Mana,90,GF,1587079457,86,5.66,-53.78,77.79,7.31
Lagoa,7,PT,1587079457,81,39.05,-27.98,59.43,13.82
Necochea,18,AR,1587079443,93,-38.55,-58.74,55,1.01
Ballina,15,AU,1587079370,60,-28.87,153.57,78.01,6.93
Sergeevka,100,KZ,1587079457,52,53.88,67.42,47.03,14.27
Dudinka,92,RU,1587079457,73,69.41,86.18,21.2,15.66
Zhezkazgan,0,KZ,1587079457,60,47.8,67.71,39.2,6.71
Rudnichnyy,86,RU,1587079457,90,59.62,52.47,32.14,6.93
Kambove,94,CD,1587079458,64,-10.88,26.6,63.37,2.91
Iqaluit,75,CA,1587079458,78,63.75,-68.51,12,19.46
Petropavlovsk-Kamchatskiy,75,RU,1587079458,90,53.05,158.65,39.2,4.47
Yar-Sale,99,RU,1587079458,98,66.83,70.83,25.68,15.14
San Vicente,0,AR,1587079458,58,-26.62,-54.13,52.34,3.18
Flin Flon,20,CA,1587079458,34,54.77,-101.86,37.4,11.41
Ayagoz,35,KZ,1587079458,57,47.97,80.44,38.46,12.28
Celestún,77,MX,1587079458,76,20.87,-90.4,81.39,18.7
Baicheng,100,CN,1587079458,36,45.62,122.82,54.55,10
Souillac,40,MU,1587079459,73,-20.52,57.52,77,11.41
Dunhua,100,CN,1587079459,59,43.37,128.24,44.85,7.7
Broken Hill,91,AU,1587079459,66,-31.95,141.43,53.6,8.05
Camacha,40,PT,1587079459,82,33.08,-16.33,60.8,12.75
Karasjok,100,NO,1587079459,86,69.47,25.51,33.8,27.51
Port Moresby,40,PG,1587079459,78,-9.44,147.18,82.4,4.7
Kumul,95,CN,1587079459,22,42.8,93.45,63.54,9.64
Tura,79,IN,1587079459,67,25.52,90.22,67.12,1.34
Richards Bay,13,ZA,1587079460,79,-28.78,32.04,68.99,5.35
Los Llanos de Aridane,75,ES,1587079460,72,28.66,-17.92,68,6.93
San Cristobal,40,VE,1587079460,48,7.77,-72.22,87.8,10.29
Āsosa,31,ET,1587079460,13,10.07,34.53,71.04,2.98
Qaanaaq,100,GL,1587079460,83,77.48,-69.36,16.02,2.13
Hūn,25,LY,1587079460,41,29.13,15.95,69.22,10.67
San Quintín,0,MX,1587079460,55,30.48,-115.95,66.36,10.6
Nosy Varika,4,MG,1587079460,79,-20.58,48.53,73.4,1.45
Alta Floresta,86,BR,1587079312,89,-9.88,-56.09,73,2.89
San Patricio,5,MX,1587079461,73,19.22,-104.7,77,11.41
Lebu,10,CL,1587079461,87,-37.62,-73.65,56.3,8.7
Narsaq,100,GL,1587079462,91,60.92,-46.05,32,1.12
Calama,13,CL,1587079462,20,-22.47,-68.93,62.6,12.75
Longyearbyen,75,SJ,1587079462,74,78.22,15.64,30.2,6.93
Malko Tarnovo,0,BG,1587079462,75,41.98,27.53,46.99,10.29
Safi,96,MA,1587079406,86,32.3,-9.24,62.8,4.94
Yima,28,CN,1587079463,27,34.74,111.88,59.59,3.67
Yerbogachën,57,RU,1587079463,89,61.28,108.01,24.08,10.96
Shihezi,96,CN,1587079463,71,44.3,86.03,49.93,1.95
Morondava,0,MG,1587079463,72,-20.28,44.28,77.23,6.6
Severo-Kuril'sk,96,RU,1587079463,95,50.68,156.12,31.28,13.29
Maple Creek,59,CA,1587079463,42,49.92,-109.48,43.34,9.13
Udachny,64,RU,1587079463,77,66.42,112.4,-0.4,6.71
Rauma,12,FI,1587079452,60,61.13,21.51,39.2,17.22
Bosaso,10,SO,1587079464,72,11.28,49.18,83.19,3.2
Bogorodsk,90,RU,1587079464,93,56.1,43.52,39,4.47
Kiunga,96,PG,1587079464,90,-6.12,141.29,77.49,0.58
Tiksi,100,RU,1587079464,91,71.69,128.87,-4.56,7.18
Moroni,100,KM,1587079464,72,-11.7,43.26,82.94,5.82
San Jerónimo,78,PE,1587079464,28,-11.95,-75.28,51.12,3.02
Hualmay,16,PE,1587079464,74,-11.1,-77.61,72.34,6.51
Zhenlai,100,CN,1587079465,36,45.85,123.3,54.3,9.01
Hamilton,1,US,1587079465,34,39.18,-84.53,50,11.41
Nikolskoye,75,RU,1587079465,90,59.7,30.79,37.4,11.18
Hamadan,63,IR,1587079403,35,34.8,48.51,46.09,1.68
Alyangula,25,AU,1587079465,100,-13.85,136.42,75.2,5.08
Avarua,92,CK,1587079465,65,-21.21,-159.78,80.6,8.05
Las Palmas,21,ES,1587079465,72,28.42,-14.01,68,5.82
Barrow,90,US,1587079218,78,71.29,-156.79,15.8,11.41
Hay River,75,CA,1587079465,48,60.82,-115.8,44.6,8.05
Qūchān,0,IR,1587079465,39,37.11,58.51,46.76,0.96
Itarema,42,BR,1587079466,87,-2.92,-39.92,78.35,6.78
Riviere-au-Renard,20,CA,1587079466,33,49,-64.4,30.2,13.87
Amga,30,RU,1587079466,82,60.9,131.96,12.25,7.45
Makakilo City,20,US,1587079450,51,21.35,-158.09,84.2,9.17
Ancud,90,CL,1587079466,100,-41.87,-73.82,59,17.22
Ribeira Grande,31,PT,1587079466,76,38.52,-28.7,58.57,10.67
Tilichiki,2,RU,1587079466,93,60.47,166.1,17.64,9.15
Karpathos,0,GR,1587079467,72,35.51,27.21,59,26.4
Ponta do Sol,20,PT,1587079467,67,32.67,-17.1,60.8,3.36
Laguna,1,US,1587079467,29,38.42,-121.42,82,4.7
Rawson,84,AR,1587079246,38,-43.3,-65.1,74.89,11.36
Bőny,97,HU,1587079467,66,47.65,17.87,51.8,1.12
Rock Sound,65,BS,1587079224,82,24.9,-76.2,78.66,4.56
Matara,37,LK,1587079468,85,5.95,80.54,77.67,2.51
Hithadhoo,68,MV,1587079266,70,-0.6,73.08,84.54,6.69
Muzhi,100,RU,1587079468,96,65.37,64.67,34.84,15.68
Puri,75,IN,1587079468,94,19.8,85.85,80.6,12.75
Katiola,4,CI,1587079468,58,8.13,-5.1,80.71,4.36
Prince Rupert,90,CA,1587079468,100,54.32,-130.32,44.6,5.82
Nampula,20,MZ,1587079469,94,-15.12,39.27,73.4,5.82
Severnyy,32,RU,1587079469,76,50.68,36.55,44.6,11.18
Goldsboro,1,US,1587079469,24,35.38,-77.99,66.2,6.93
Sebina,18,BW,1587079469,32,-20.87,27.25,68.07,0.54
Xiuyan,99,CN,1587079469,83,40.29,123.27,50.49,9.28
Sonqor,84,IR,1587079469,70,34.78,47.6,46.4,4.7
Shelburne,20,CA,1587079469,40,44.08,-80.2,37,13.87
Krasnozerskoye,26,RU,1587079470,78,53.98,79.24,41.27,4.72
